wkt,lad_id,lad_code,lad_name,lad_name_welsh,lad_id_region,region_code,region_name,region_name_welsh,lad_id_country,country_code,country_name,country_name_welsh
"POINT (1.5 0.5)","1",E06000053,Isles of Scilly,,SW1,E12000009,South West,De-orllewin Lloegr,E1,E92000001,England,Lloegr
"POINT (12.5 0.5)","2",E06000046,Isle of Wight,,SE1,E12000008,South East,De-ddwyrain Lloegr,E2,E92000001,England,Lloegr
"POINT (2.5 1.5)","3",E06000052,Cornwall,,SW2,E12000009,South West,De-orllewin Lloegr,E3,E92000001,England,Lloegr
"POINT (3.5 1.5)","4",E06000026,Plymouth,,SW3,E12000009,South West,De-orllewin Lloegr,E4,E92000001,England,Lloegr
"POINT (4.5 1.5)","5",E07000044,South Hams,,SW4,E12000009,South West,De-orllewin Lloegr,E5,E92000001,England,Lloegr
"POINT (5.5 1.5)","6",E06000027,Torbay,,SW5,E12000009,South West,De-orllewin Lloegr,E6,E92000001,England,Lloegr
"POINT (16.5 1.5)","7",E07000224,Arun,,SE2,E12000008,South East,De-ddwyrain Lloegr,E7,E92000001,England,Lloegr
"POINT (4.5 2.5)","8",E07000047,West Devon,,SW6,E12000009,South West,De-orllewin Lloegr,E8,E92000001,England,Lloegr
"POINT (5.5 2.5)","9",E07000045,Teignbridge,,SW7,E12000009,South West,De-orllewin Lloegr,E9,E92000001,England,Lloegr
"POINT (6.5 2.5)","10",E07000041,Exeter,,SW8,E12000009,South West,De-orllewin Lloegr,E10,E92000001,England,Lloegr
"POINT (8.5 2.5)","11",E06000059,Dorset,,SW9,E12000009,South West,De-orllewin Lloegr,E11,E92000001,England,Lloegr
"POINT (11.5 2.5)","12",E06000045,Southampton,,SE3,E12000008,South East,De-ddwyrain Lloegr,E12,E92000001,England,Lloegr
"POINT (12.5 2.5)","13",E07000087,Fareham,,SE4,E12000008,South East,De-ddwyrain Lloegr,E13,E92000001,England,Lloegr
"POINT (13.5 2.5)","14",E07000088,Gosport,,SE5,E12000008,South East,De-ddwyrain Lloegr,E14,E92000001,England,Lloegr
"POINT (14.5 2.5)","15",E06000044,Portsmouth,,SE6,E12000008,South East,De-ddwyrain Lloegr,E15,E92000001,England,Lloegr
"POINT (15.5 2.5)","16",E07000225,Chichester,,SE7,E12000008,South East,De-ddwyrain Lloegr,E16,E92000001,England,Lloegr
"POINT (16.5 2.5)","17",E07000229,Worthing,,SE8,E12000008,South East,De-ddwyrain Lloegr,E17,E92000001,England,Lloegr
"POINT (17.5 2.5)","18",E07000223,Adur,,SE9,E12000008,South East,De-ddwyrain Lloegr,E18,E92000001,England,Lloegr
"POINT (5.5 3.5)","19",E07000046,Torridge,,SW10,E12000009,South West,De-orllewin Lloegr,E19,E92000001,England,Lloegr
"POINT (6.5 3.5)","20",E07000042,Mid Devon,,SW11,E12000009,South West,De-orllewin Lloegr,E20,E92000001,England,Lloegr
"POINT (7.5 3.5)","21",E07000040,East Devon,,SW12,E12000009,South West,De-orllewin Lloegr,E21,E92000001,England,Lloegr
