wkt,description
"LINESTRING (7.0 24.0,8.0 24.0)",North West - Scotland
"LINESTRING (8.0 24.0,10.0 24.0,10 25,10 26,11 26)",North East - Scotland
"LINESTRING (8.0 22.0,8.0 23.0,8.0 24.0)",North East - North West
"LINESTRING (8.0 22.0,9 22,10 22,11 22,12 22)",North East - Yorkshire and The Humber 
"LINESTRING (8.0 22.0,8.0 21.0,9 21,9 20,9 19,9 18,10 18,10 17)",North West - Yorkshire and The Humber
"LINESTRING (10 17,11 17,12 17,12 18,13 18,14 18,14 19,15 19)",East Midlands - Yorkshire and The Humber
"LINESTRING (8.0 15.0,8.0 16.0,9 16,9 17,10 17)",East Midlands - North West
"LINESTRING (7 14,8.0 14.0,8.0 15.0)",North West - West Midlands
"LINESTRING (8.0 15.0,9.0 15.0,9 14,10 14,10 13,10.0 12.0,11.0 12.0,11 11,11 10,12 10)",West Midlands - Yorkshire and The Humber
"LINESTRING (6 8,6 9,6 10,6 11,6.0 12.0,6 13)",Wales - West Midlands
"LINESTRING (6 8,7 8,8.0 8.0,9 8,9 7,10 7)",South West - West Midlands
"LINESTRING (10 7,10 8,11 8,11 9,12 9,12 10)",South East - West Midlands
"LINESTRING (12 10,13 10)",South East - Yorkshire and The Humber
"LINESTRING (14 10,14 11,14.0 12.0,14 13,14 14,15 14,15.0 15.0,15 16,16 16)",East of England - Yorkshire and The Humber
"LINESTRING (13 10,14 10)",London - Yorkshire and The Humber
"LINESTRING (13 10,13 9,14 9,14 8,14 7,15 7,15.0 6.0,16.0 6.0,16 5,17.0 5.0,17.0 6.0,18.0 6.0,19.0 6.0,20.0 6.0,20 7,20 8,20 9,21 9)",London - South East
"LINESTRING (21 9,22.0 9.0,23.0 9.0)",East of England - South East
"LINESTRING (21 9,21 10,21 11,20 11,19 11,18 11,18.0 12.0,17.0 12.0,17.0 11.0,16 11,15 11,15 10,14 10)",East of England - London
"LINESTRING (10 7,10.0 6.0,10 5,11 5,11 4,10 4,10.0 3.0)",South East - South West
