wkt,lad_id,lad_code,lad_name,lad_name_welsh,lad_id_region,region_code,region_name,region_name_welsh,lad_id_country,country_code,country_name,country_name_welsh
"POLYGON ((1 0,1 1,2 1,2 0,1 0))","1",E06000053,Isles of Scilly,,SW1,E12000009,South West,De-orllewin Lloegr,E1,E92000001,England,Lloegr
"POLYGON ((12 0,12 1,13 1,13 0,12 0))","2",E06000046,Isle of Wight,,SE1,E12000008,South East,De-ddwyrain Lloegr,E2,E92000001,England,Lloegr
"POLYGON ((2 1,2 2,3 2,3 1,2 1))","3",E06000052,Cornwall,,SW2,E12000009,South West,De-orllewin Lloegr,E3,E92000001,England,Lloegr
"POLYGON ((3 1,3 2,4 2,4 1,3 1))","4",E06000026,Plymouth,,SW3,E12000009,South West,De-orllewin Lloegr,E4,E92000001,England,Lloegr
"POLYGON ((4 1,4 2,5 2,5 1,4 1))","5",E07000044,South Hams,,SW4,E12000009,South West,De-orllewin Lloegr,E5,E92000001,England,Lloegr
"POLYGON ((5 1,5 2,6 2,6 1,5 1))","6",E06000027,Torbay,,SW5,E12000009,South West,De-orllewin Lloegr,E6,E92000001,England,Lloegr
"POLYGON ((16 1,16 2,17 2,17 1,16 1))","7",E07000224,Arun,,SE2,E12000008,South East,De-ddwyrain Lloegr,E7,E92000001,England,Lloegr
"POLYGON ((4 2,4 3,5 3,5 2,4 2))","8",E07000047,West Devon,,SW6,E12000009,South West,De-orllewin Lloegr,E8,E92000001,England,Lloegr
"POLYGON ((5 2,5 3,6 3,6 2,5 2))","9",E07000045,Teignbridge,,SW7,E12000009,South West,De-orllewin Lloegr,E9,E92000001,England,Lloegr
"POLYGON ((6 2,6 3,7 3,7 2,6 2))","10",E07000041,Exeter,,SW8,E12000009,South West,De-orllewin Lloegr,E10,E92000001,England,Lloegr
"POLYGON ((8 2,8 3,9 3,9 2,8 2))","11",E06000059,Dorset,,SW9,E12000009,South West,De-orllewin Lloegr,E11,E92000001,England,Lloegr
"POLYGON ((11 2,11 3,12 3,12 2,11 2))","12",E06000045,Southampton,,SE3,E12000008,South East,De-ddwyrain Lloegr,E12,E92000001,England,Lloegr
"POLYGON ((12 2,12 3,13 3,13 2,12 2))","13",E07000087,Fareham,,SE4,E12000008,South East,De-ddwyrain Lloegr,E13,E92000001,England,Lloegr
"POLYGON ((13 2,13 3,14 3,14 2,13 2))","14",E07000088,Gosport,,SE5,E12000008,South East,De-ddwyrain Lloegr,E14,E92000001,England,Lloegr
"POLYGON ((14 2,14 3,15 3,15 2,14 2))","15",E06000044,Portsmouth,,SE6,E12000008,South East,De-ddwyrain Lloegr,E15,E92000001,England,Lloegr
"POLYGON ((15 2,15 3,16 3,16 2,15 2))","16",E07000225,Chichester,,SE7,E12000008,South East,De-ddwyrain Lloegr,E16,E92000001,England,Lloegr
"POLYGON ((16 2,16 3,17 3,17 2,16 2))","17",E07000229,Worthing,,SE8,E12000008,South East,De-ddwyrain Lloegr,E17,E92000001,England,Lloegr
"POLYGON ((17 2,17 3,18 3,18 2,17 2))","18",E07000223,Adur,,SE9,E12000008,South East,De-ddwyrain Lloegr,E18,E92000001,England,Lloegr
"POLYGON ((5 3,5 4,6 4,6 3,5 3))","19",E07000046,Torridge,,SW10,E12000009,South West,De-orllewin Lloegr,E19,E92000001,England,Lloegr
"POLYGON ((6 3,6 4,7 4,7 3,6 3))","20",E07000042,Mid Devon,,SW11,E12000009,South West,De-orllewin Lloegr,E20,E92000001,England,Lloegr
"POLYGON ((7 3,7 4,8 4,8 3,7 3))","21",E07000040,East Devon,,SW12,E12000009,South West,De-orllewin Lloegr,E21,E92000001,England,Lloegr
"POLYGON ((8 3,8 4,9 4,9 3,8 3))","22",E07000189,South Somerset,,SW13,E12000009,South West,De-orllewin Lloegr,E22,E92000001,England,Lloegr
"POLYGON ((9 3,9 4,10 4,10 3,9 3))","23",E06000058,"Bournemouth, Christchurch and Poole",,SW14,E12000009,South West,De-orllewin Lloegr,E23,E92000001,England,Lloegr
"POLYGON ((10 3,10 4,11 4,11 3,10 3))","24",E07000091,New Forest,,SE10,E12000008,South East,De-ddwyrain Lloegr,E24,E92000001,England,Lloegr
"POLYGON ((11 3,11 4,12 4,12 3,11 3))","25",E07000093,Test Valley,,SE11,E12000008,South East,De-ddwyrain Lloegr,E25,E92000001,England,Lloegr
"POLYGON ((12 3,12 4,13 4,13 3,12 3))","26",E07000086,Eastleigh,,SE12,E12000008,South East,De-ddwyrain Lloegr,E26,E92000001,England,Lloegr
"POLYGON ((13 3,13 4,14 4,14 3,13 3))","27",E07000094,Winchester,,SE13,E12000008,South East,De-ddwyrain Lloegr,E27,E92000001,England,Lloegr
"POLYGON ((14 3,14 4,15 4,15 3,14 3))","28",E07000090,Havant,,SE14,E12000008,South East,De-ddwyrain Lloegr,E28,E92000001,England,Lloegr
"POLYGON ((15 3,15 4,16 4,16 3,15 3))","29",E07000085,East Hampshire,,SE15,E12000008,South East,De-ddwyrain Lloegr,E29,E92000001,England,Lloegr
"POLYGON ((16 3,16 4,17 4,17 3,16 3))","30",E07000216,Waverley,,SE16,E12000008,South East,De-ddwyrain Lloegr,E30,E92000001,England,Lloegr
"POLYGON ((17 3,17 4,18 4,18 3,17 3))","31",E07000227,Horsham,,SE17,E12000008,South East,De-ddwyrain Lloegr,E31,E92000001,England,Lloegr
"POLYGON ((18 3,18 4,19 4,19 3,18 3))","32",E06000043,Brighton and Hove,,SE18,E12000008,South East,De-ddwyrain Lloegr,E32,E92000001,England,Lloegr
"POLYGON ((19 3,19 4,20 4,20 3,19 3))","33",E07000063,Lewes,,SE19,E12000008,South East,De-ddwyrain Lloegr,E33,E92000001,England,Lloegr
