"row","col","code","name"
1,7,"E07000142","West Lindsey"
1,8,"E07000137","East Lindsey"
2,5,"E07000034","Chesterfield"
2,6,"E07000033","Bolsover"
2,7,"E07000138","Lincoln"
2,8,"E07000136","Boston"
3,2,"E07000032","Amber Valley"
3,3,"E07000038","North East Derbyshire"
3,4,"E07000170","Ashfield"
3,5,"E07000174","Mansfield"
3,6,"E07000171","Bassetlaw"
3,7,"E07000139","North Kesteven"
3,8,"E07000140","South Holland"
4,1,"E07000037","High Peak"
4,2,"E06000015","Derby"
4,3,"E07000036","Erewash"
4,4,"E07000172","Broxtowe"
4,5,"E06000018","Nottingham"
4,6,"E07000173","Gedling"
4,7,"E07000141","South Kesteven"
5,2,"E07000035","Derbyshire Dales"
5,3,"E07000134","North West Leicestershire"
5,4,"E07000039","South Derbyshire"
5,5,"E07000176","Rushcliffe"
5,6,"E07000175","Newark and Sherwood"
5,7,"E06000017","Rutland"
6,3,"E07000132","Hinckley and Bosworth"
6,4,"E06000016","Leicester"
6,5,"E07000130","Charnwood"
6,6,"E07000133","Melton"
7,3,"E07000129","Blaby"
7,4,"E07000135","Oadby and Wigston"
7,5,"E07000150","Corby"
7,6,"E07000153","Kettering"
8,4,"E07000131","Harborough"
8,5,"E07000154","Northampton"
8,6,"E07000152","East Northamptonshire"
9,4,"E07000151","Daventry"
9,5,"E07000155","South Northamptonshire"
9,6,"E07000156","Wellingborough"
