"row","col","code","name"
1,7,"E07000147","North Norfolk"
1,8,"E07000144","Broadland"
1,9,"E07000145","Great Yarmouth"
2,2,"E06000031","Peterborough"
2,3,"E07000010","Fenland"
2,6,"E07000146","King's Lynn and West Norfolk"
2,7,"E07000149","South Norfolk"
2,8,"E07000148","Norwich"
3,2,"E07000011","Huntingdonshire"
3,3,"E07000012","South Cambridgeshire"
3,4,"E07000008","Cambridge"
3,5,"E07000009","East Cambridgeshire"
3,6,"E07000143","Breckland"
3,7,"E07000203","Mid Suffolk"
3,8,"E07000244","East Suffolk"
4,1,"E06000055","Bedford"
4,2,"E06000056","Central Bedfordshire"
4,3,"E06000032","Luton"
4,4,"E07000099","North Hertfordshire"
4,5,"E07000242","East Hertfordshire"
4,6,"E07000245","West Suffolk"
4,7,"E07000200","Babergh"
4,8,"E07000202","Ipswich"
5,1,"E07000096","Dacorum"
5,2,"E07000240","St Albans"
5,3,"E07000243","Stevenage"
5,4,"E07000095","Broxbourne"
5,5,"E07000073","Harlow"
5,6,"E07000077","Uttlesford"
5,7,"E07000067","Braintree"
5,8,"E07000071","Colchester"
5,9,"E07000076","Tendring"
6,1,"E07000103","Watford"
6,2,"E07000098","Hertsmere"
6,3,"E07000241","Welwyn Hatfield"
6,5,"E07000072","Epping Forest"
6,6,"E07000068","Brentwood"
6,7,"E07000070","Chelmsford"
6,8,"E07000074","Maldon"
7,1,"E07000102","Three Rivers"
7,8,"E07000066","Basildon"
7,9,"E07000075","Rochford"
8,8,"E06000034","Thurrock"
8,9,"E07000069","Castle Point"
8,10,"E06000033","Southend-on-Sea"
