"row","col","code","name"
1,2,"E07000029","Copeland"
1,3,"E07000026","Allerdale"
1,4,"E07000028","Carlisle"
2,2,"E07000027","Barrow-in-Furness"
2,3,"E07000031","South Lakeland"
2,4,"E07000030","Eden"
3,3,"E07000121","Lancaster"
3,4,"E07000122","Pendle"
4,2,"E07000128","Wyre"
4,3,"E07000123","Preston"
4,4,"E07000124","Ribble Valley"
4,5,"E07000117","Burnley"
5,1,"E06000009","Blackpool"
5,2,"E07000126","South Ribble"
5,3,"E06000008","Blackburn with Darwen"
5,4,"E07000120","Hyndburn"
5,5,"E08000005","Rochdale"
6,1,"E07000119","Fylde"
6,2,"E07000118","Chorley"
6,3,"E08000001","Bolton"
6,4,"E07000125","Rossendale"
6,5,"E08000004","Oldham"
7,1,"E07000127","West Lancashire"
7,2,"E08000013","St. Helens"
7,3,"E08000010","Wigan"
7,4,"E08000006","Salford"
7,5,"E08000002","Bury"
7,6,"E08000008","Tameside"
8,1,"E08000014","Sefton"
8,2,"E08000011","Knowsley"
8,3,"E08000009","Trafford"
8,4,"E08000003","Manchester"
8,5,"E08000007","Stockport"
9,2,"E08000012","Liverpool"
9,3,"E06000006","Halton"
9,4,"E06000007","Warrington"
10,2,"E08000015","Wirral"
10,3,"E06000050","Cheshire West and Chester"
10,4,"E06000049","Cheshire East"
