"row","col","code","name"
1,6,"S12000027","Shetland Islands"
2,4,"S12000013","Na h-Eileanan Siar"
2,6,"S12000023","Orkney Islands"
3,5,"S12000017","Highland"
4,5,"S12000020","Moray"
4,6,"S12000034","Aberdeenshire"
4,7,"S12000033","Aberdeen City"
5,5,"S12000048","Perth and Kinross"
5,6,"S12000042","Dundee City"
5,7,"S12000041","Angus"
6,4,"S12000030","Stirling"
6,5,"S12000005","Clackmannanshire"
6,6,"S12000047","Fife"
7,2,"S12000035","Argyll and Bute"
7,3,"S12000039","West Dunbartonshire"
7,4,"S12000045","East Dunbartonshire"
7,5,"S12000014","Falkirk"
8,1,"S12000018","Inverclyde"
8,2,"S12000038","Renfrewshire"
8,3,"S12000011","East Renfrewshire"
8,4,"S12000049","Glasgow City"
8,5,"S12000050","North Lanarkshire"
8,6,"S12000040","West Lothian"
8,7,"S12000036","City of Edinburgh"
8,8,"S12000019","Midlothian"
8,9,"S12000010","East Lothian"
9,3,"S12000021","North Ayrshire"
9,4,"S12000008","East Ayrshire"
9,5,"S12000029","South Lanarkshire"
10,3,"S12000028","South Ayrshire"
10,4,"S12000006","Dumfries and Galloway"
10,5,"S12000026","Scottish Borders"
