"row","col","code","name"
1,3,"E06000042","Milton Keynes"
2,2,"E07000177","Cherwell"
2,3,"E07000004","Aylesbury Vale"
2,4,"E07000006","South Bucks"
2,11,"E07000107","Dartford"
2,12,"E07000109","Gravesham"
2,13,"E06000035","Medway"
3,1,"E07000181","West Oxfordshire"
3,2,"E07000178","Oxford"
3,3,"E07000005","Chiltern"
3,4,"E06000039","Slough"
3,11,"E07000111","Sevenoaks"
3,12,"E07000115","Tonbridge and Malling"
3,13,"E07000113","Swale"
3,14,"E07000106","Canterbury"
3,15,"E07000114","Thanet"
4,1,"E07000180","Vale of White Horse"
4,2,"E07000179","South Oxfordshire"
4,3,"E07000007","Wycombe"
4,4,"E06000040","Windsor and Maidenhead"
4,5,"E07000213","Spelthorne"
4,11,"E07000116","Tunbridge Wells"
4,12,"E07000110","Maidstone"
4,13,"E07000105","Ashford"
4,14,"E07000112","Folkestone and Hythe"
4,15,"E07000108","Dover"
5,1,"E06000037","West Berkshire"
5,2,"E06000038","Reading"
5,3,"E06000041","Wokingham"
5,4,"E06000036","Bracknell Forest"
5,5,"E07000212","Runnymede"
5,6,"E07000207","Elmbridge"
5,8,"E07000208","Epsom and Ewell"
5,9,"E07000211","Reigate and Banstead"
5,10,"E07000215","Tandridge"
5,11,"E07000065","Wealden"
5,12,"E07000064","Rother"
6,2,"E07000084","Basingstoke and Deane"
6,3,"E07000089","Hart"
6,4,"E07000092","Rushmoor"
6,5,"E07000214","Surrey Heath"
6,6,"E07000217","Woking"
6,7,"E07000209","Guildford"
6,8,"E07000210","Mole Valley"
6,9,"E07000226","Crawley"
6,10,"E07000228","Mid Sussex"
6,11,"E07000061","Eastbourne"
6,12,"E07000062","Hastings"
7,1,"E07000091","New Forest"
7,2,"E07000093","Test Valley"
7,3,"E07000086","Eastleigh"
7,4,"E07000094","Winchester"
7,5,"E07000090","Havant"
7,6,"E07000085","East Hampshire"
7,7,"E07000216","Waverley"
7,8,"E07000227","Horsham"
7,9,"E06000043","Brighton and Hove"
7,10,"E07000063","Lewes"
8,2,"E06000045","Southampton"
8,3,"E07000087","Fareham"
8,4,"E07000088","Gosport"
8,5,"E06000044","Portsmouth"
8,6,"E07000225","Chichester"
8,7,"E07000229","Worthing"
8,8,"E07000223","Adur"
9,7,"E07000224","Arun"
10,3,"E06000046","Isle of Wight"
