"row","col","code","name"
1,6,"E07000080","Forest of Dean"
1,7,"E07000081","Gloucester"
1,8,"E07000083","Tewkesbury"
2,7,"E07000082","Stroud"
2,8,"E07000078","Cheltenham"
2,9,"E07000079","Cotswold"
3,6,"E06000024","North Somerset"
3,7,"E06000023","Bristol, City of"
3,8,"E06000025","South Gloucestershire"
3,9,"E06000030","Swindon"
4,5,"E07000043","North Devon"
4,6,"E07000246","Somerset West and Taunton"
4,7,"E07000188","Sedgemoor"
4,8,"E06000022","Bath and North East Somerset"
4,9,"E07000187","Mendip"
4,10,"E06000054","Wiltshire"
5,5,"E07000046","Torridge"
5,6,"E07000042","Mid Devon"
5,7,"E07000040","East Devon"
5,8,"E07000189","South Somerset"
5,9,"E06000058","Bournemouth, Christchurch and Poole"
6,4,"E07000047","West Devon"
6,5,"E07000045","Teignbridge"
6,6,"E07000041","Exeter"
6,8,"E06000059","Dorset"
7,2,"E06000052","Cornwall"
7,3,"E06000026","Plymouth"
7,4,"E07000044","South Hams"
7,5,"E06000027","Torbay"
8,1,"E06000053","Isles of Scilly"
