"row","col","code","name"
1,11,"S12000027","Shetland Islands"
2,9,"S12000013","Na h-Eileanan Siar"
2,11,"S12000023","Orkney Islands"
3,10,"S12000017","Highland"
4,10,"S12000020","Moray"
4,11,"S12000034","Aberdeenshire"
4,12,"S12000033","Aberdeen City"
5,10,"S12000048","Perth and Kinross"
5,11,"S12000042","Dundee City"
5,12,"S12000041","Angus"
6,9,"S12000030","Stirling"
6,10,"S12000005","Clackmannanshire"
6,11,"S12000047","Fife"
7,7,"S12000035","Argyll and Bute"
7,8,"S12000039","West Dunbartonshire"
7,9,"S12000045","East Dunbartonshire"
7,10,"S12000014","Falkirk"
8,6,"S12000018","Inverclyde"
8,7,"S12000038","Renfrewshire"
8,8,"S12000011","East Renfrewshire"
8,9,"S12000049","Glasgow City"
8,10,"S12000050","North Lanarkshire"
8,11,"S12000040","West Lothian"
8,12,"S12000036","City of Edinburgh"
8,13,"S12000019","Midlothian"
8,14,"S12000010","East Lothian"
9,8,"S12000021","North Ayrshire"
9,9,"S12000008","East Ayrshire"
9,10,"S12000029","South Lanarkshire"
9,11,"E08000022","North Tyneside"
10,1,"N09000005","Derry City and Strabane"
10,2,"N09000004","Causeway Coast and Glens"
10,3,"N09000008","Mid and East Antrim"
10,8,"S12000028","South Ayrshire"
10,9,"S12000006","Dumfries and Galloway"
10,10,"S12000026","Scottish Borders"
10,11,"E08000023","South Tyneside"
10,12,"E08000024","Sunderland"
11,1,"N09000006","Fermanagh and Omagh"
11,2,"N09000009","Mid Ulster"
11,3,"N09000001","Antrim and Newtownabbey"
11,6,"E07000029","Copeland"
11,7,"E07000026","Allerdale"
11,8,"E07000028","Carlisle"
11,9,"E06000057","Northumberland"
11,10,"E08000021","Newcastle upon Tyne"
11,11,"E08000037","Gateshead"
11,12,"E06000001","Hartlepool"
12,1,"N09000002","Armagh City, Banbridge and Craigavon"
12,2,"N09000007","Lisburn and Castlereagh"
12,3,"N09000003","Belfast"
12,6,"E07000027","Barrow-in-Furness"
12,7,"E07000031","South Lakeland"
12,8,"E07000030","Eden"
12,9,"E06000047","County Durham"
12,10,"E06000005","Darlington"
12,11,"E06000004","Stockton-on-Tees"
12,12,"E06000002","Middlesbrough"
12,13,"E06000003","Redcar and Cleveland"
13,2,"N09000010","Newry, Mourne and Down"
13,3,"N09000011","Ards and North Down"
13,7,"E07000121","Lancaster"
13,8,"E07000122","Pendle"
13,9,"E07000163","Craven"
13,10,"E07000166","Richmondshire"
13,11,"E07000164","Hambleton"
13,12,"E07000168","Scarborough"
14,6,"E07000128","Wyre"
14,7,"E07000123","Preston"
14,8,"E07000124","Ribble Valley"
14,9,"E07000117","Burnley"
14,10,"E08000032","Bradford"
14,11,"E07000165","Harrogate"
14,12,"E06000014","York"
14,13,"E07000167","Ryedale"
15,5,"E06000009","Blackpool"
15,6,"E07000126","South Ribble"
15,7,"E06000008","Blackburn with Darwen"
15,8,"E07000120","Hyndburn"
15,9,"E08000005","Rochdale"
15,10,"E08000033","Calderdale"
15,11,"E08000035","Leeds"
15,12,"E07000169","Selby"
15,13,"E06000011","East Riding of Yorkshire"
15,14,"E06000010","Kingston upon Hull, City of"
15,15,"E06000012","North East Lincolnshire"
16,5,"E07000119","Fylde"
16,6,"E07000118","Chorley"
16,7,"E08000001","Bolton"
16,8,"E07000125","Rossendale"
16,9,"E08000004","Oldham"
16,10,"E08000034","Kirklees"
16,11,"E08000016","Barnsley"
16,12,"E08000036","Wakefield"
16,13,"E08000017","Doncaster"
16,14,"E06000013","North Lincolnshire"
16,15,"E07000142","West Lindsey"
16,16,"E07000137","East Lindsey"
17,5,"E07000127","West Lancashire"
17,6,"E08000013","St. Helens"
17,7,"E08000010","Wigan"
17,8,"E08000006","Salford"
17,9,"E08000002","Bury"
17,10,"E08000008","Tameside"
17,11,"E08000019","Sheffield"
17,12,"E08000018","Rotherham"
17,13,"E07000034","Chesterfield"
17,14,"E07000033","Bolsover"
17,15,"E07000138","Lincoln"
17,16,"E07000136","Boston"
18,5,"E08000014","Sefton"
18,6,"E08000011","Knowsley"
18,7,"E08000009","Trafford"
18,8,"E08000003","Manchester"
18,9,"E08000007","Stockport"
18,10,"E07000032","Amber Valley"
18,11,"E07000038","North East Derbyshire"
18,12,"E07000170","Ashfield"
18,13,"E07000174","Mansfield"
18,14,"E07000171","Bassetlaw"
18,15,"E07000139","North Kesteven"
18,16,"E07000140","South Holland"
18,21,"E07000147","North Norfolk"
18,22,"E07000144","Broadland"
18,23,"E07000145","Great Yarmouth"
19,6,"E08000012","Liverpool"
19,7,"E06000006","Halton"
19,8,"E06000007","Warrington"
19,9,"E07000037","High Peak"
19,10,"E06000015","Derby"
19,11,"E07000036","Erewash"
19,12,"E07000172","Broxtowe"
19,13,"E06000018","Nottingham"
19,14,"E07000173","Gedling"
19,15,"E07000141","South Kesteven"
19,16,"E06000031","Peterborough"
19,17,"E07000010","Fenland"
19,20,"E07000146","King's Lynn and West Norfolk"
19,21,"E07000149","South Norfolk"
19,22,"E07000148","Norwich"
20,6,"E08000015","Wirral"
20,7,"E06000050","Cheshire West and Chester"
20,8,"E06000049","Cheshire East"
20,9,"E06000021","Stoke-on-Trent"
20,10,"E07000035","Derbyshire Dales"
20,11,"E07000134","North West Leicestershire"
20,12,"E07000039","South Derbyshire"
20,13,"E07000176","Rushcliffe"
20,14,"E07000175","Newark and Sherwood"
20,15,"E06000017","Rutland"
20,16,"E07000011","Huntingdonshire"
20,17,"E07000012","South Cambridgeshire"
20,18,"E07000008","Cambridge"
20,19,"E07000009","East Cambridgeshire"
20,20,"E07000143","Breckland"
20,21,"E07000203","Mid Suffolk"
20,22,"E07000244","East Suffolk"
21,3,"W06000001","Isle of Anglesey"
21,8,"E07000195","Newcastle-under-Lyme"
21,9,"E07000197","Stafford"
21,10,"E07000198","Staffordshire Moorlands"
21,11,"E07000132","Hinckley and Bosworth"
21,12,"E06000016","Leicester"
21,13,"E07000130","Charnwood"
21,14,"E07000133","Melton"
21,15,"E06000055","Bedford"
21,16,"E06000056","Central Bedfordshire"
21,17,"E06000032","Luton"
21,18,"E07000099","North Hertfordshire"
21,19,"E07000242","East Hertfordshire"
21,20,"E07000245","West Suffolk"
21,21,"E07000200","Babergh"
21,22,"E07000202","Ipswich"
22,4,"W06000003","Conwy"
22,5,"W06000004","Denbighshire"
22,6,"W06000005","Flintshire"
22,7,"E06000051","Shropshire"
22,8,"E06000020","Telford and Wrekin"
22,9,"E07000192","Cannock Chase"
22,10,"E07000193","East Staffordshire"
22,11,"E07000129","Blaby"
22,12,"E07000135","Oadby and Wigston"
22,13,"E07000150","Corby"
22,14,"E07000153","Kettering"
22,15,"E07000096","Dacorum"
22,16,"E07000240","St Albans"
22,17,"E07000243","Stevenage"
22,18,"E07000095","Broxbourne"
22,19,"E07000073","Harlow"
22,20,"E07000077","Uttlesford"
22,21,"E07000067","Braintree"
22,22,"E07000071","Colchester"
22,23,"E07000076","Tendring"
23,4,"W06000002","Gwynedd"
23,5,"W06000008","Ceredigion"
23,6,"W06000006","Wrexham"
23,7,"E08000031","Wolverhampton"
23,8,"E07000196","South Staffordshire"
23,9,"E08000030","Walsall"
23,10,"E07000194","Lichfield"
23,11,"E07000199","Tamworth"
23,12,"E07000131","Harborough"
23,13,"E07000154","Northampton"
23,14,"E07000152","East Northamptonshire"
23,15,"E07000103","Watford"
23,16,"E07000098","Hertsmere"
23,17,"E07000241","Welwyn Hatfield"
23,18,"E09000010","Enfield"
23,19,"E07000072","Epping Forest"
23,20,"E07000068","Brentwood"
23,21,"E07000070","Chelmsford"
23,22,"E07000074","Maldon"
24,3,"W06000010","Carmarthenshire"
24,4,"W06000024","Merthyr Tydfil"
24,5,"W06000018","Caerphilly"
24,6,"W06000023","Powys"
24,7,"E08000027","Dudley"
24,8,"E07000234","Bromsgrove"
24,9,"E08000028","Sandwell"
24,10,"E08000025","Birmingham"
24,11,"E07000218","North Warwickshire"
24,12,"E07000151","Daventry"
24,13,"E07000155","South Northamptonshire"
24,14,"E07000156","Wellingborough"
24,15,"E07000102","Three Rivers"
24,16,"E09000015","Harrow"
24,17,"E09000003","Barnet"
24,18,"E09000014","Haringey"
24,19,"E09000031","Waltham Forest"
24,20,"E09000026","Redbridge"
24,21,"E09000016","Havering"
24,22,"E07000066","Basildon"
24,23,"E07000075","Rochford"
25,1,"W06000009","Pembrokeshire"
25,2,"W06000011","Swansea"
