"row","col","code","name"
1,3,"W06000001","Isle of Anglesey"
2,4,"W06000003","Conwy"
2,5,"W06000004","Denbighshire"
2,6,"W06000005","Flintshire"
3,4,"W06000002","Gwynedd"
3,5,"W06000008","Ceredigion"
3,6,"W06000006","Wrexham"
4,3,"W06000010","Carmarthenshire"
4,4,"W06000024","Merthyr Tydfil"
4,5,"W06000018","Caerphilly"
4,6,"W06000023","Powys"
5,1,"W06000009","Pembrokeshire"
5,2,"W06000011","Swansea"
5,3,"W06000012","Neath Port Talbot"
5,4,"W06000016","Rhondda Cynon Taf"
5,5,"W06000020","Torfaen"
5,6,"W06000019","Blaenau Gwent"
6,3,"W06000013","Bridgend"
6,4,"W06000015","Cardiff"
6,5,"W06000022","Newport"
6,6,"W06000021","Monmouthshire"
7,4,"W06000014","Vale of Glamorgan"
